Account	Block	Ccy	#	Amount	Ethers	Old Token Balance	New Token Balance
0x5b93df01d0662499a86994d4145d064342bd1d6e	3638480	ETH	221	4	4	440	440
0x24aab2dde37304033335a90400e971cf2817cb5f	3638480	ETH	222	2	2	520	520
0xa7c5942a8305e88a08ab34fb73ef9dd8b329da05	3638480	ETH	223	1300	1300	143000	143000
0x50e65564353b3f2725d842f91ed60c6905d2a657	3638480	ETH	224	40	40	12700	12700
0xe18abbeeb8815a18f977c909ad0a9312da712308	3638480	ETH	225	8	8	880	880
0xbc75d134d4ed07961c97b8864474436798bb97f8	3638480	ETH	226	12	12	1320	1320
0x53ddc42431ca10979bb3bee15635de5c83d90ff9	3638480	ETH	227	4.7	4.7	517	517
0x001f58ab5d8c7396323f4f6b05431e3750116288	3638480	ETH	228	0.5	0.5	55	55
0xa145657f6276f2d320168a1229e8d60ce046b48b	3638481	ETH	229	4	4	440	440
0xc9acbb5370add6106874d561b228a0695cd8cf5b	3638481	ETH	230	50	50	5500	5500
0x4e3d9fe074569618c2b58486d13f2af969516dc0	3638482	ETH	231	1099.964645272	1099.964645272	120996.11097992	120996.11097992
0xc525105234b0355a0a0e36fce03dd22b2c69a736	3638482	ETH	232	12.5	12.5	40187	14256.2
0x949b82dfc04558bc4d3ca033a1b194915a3a3bee	3638482	ETH	233	0.991	0.991	800.41	800.41
0x3b015942a9f81a04111b8828e1335e3a78ede5a7	3638482	ETH	234	42	42	4620	4620
0x4de53def44fc38e654a92ebdf50bede839cb5246	3638482	ETH	235	1	1	1210	1210
0x18d322bf2c6a694ca46fae0291f7854e86b9a9a7	3638482	ETH	236	339	339	57290	57290
0x80c294f333790954e785eb9d0ad0589bc5f56e28	3638482	ETH	237	2.996	2.996	329.56	329.56
0xe6f1dc3043f580a9aac0aed3ba6d8336c2639c8d	3638482	ETH	238	23	23	2530	2530
0x8ff35b5fbac763653847468be7715f2c3fa7c6e3	3638482	ETH	239	956	956	105160	105160
0xe9de5262a6c3cc173421f46ae1356c9b6f9b7355	3638482	ETH	240	70	70	7700	7700
0xe1c9e9233e8a2c2bd46cc8fb7d1e130539efe2ee	3638482	ETH	241	20	20	2200	2200
0x8a9bcdc68d19e111663d6c986caf1da1eda1c304	3638482	ETH	242	15	15	1650	1650
0x76757c8d10db73c37720ce5d559ce51054399bf5	3638482	ETH	243	12.83641022	12.83641022	1412.0051242	1412.0051242
0x0092477840ac3ce5ccff2b2ae2eee512f483c4d8	3638482	ETH	244	5	5	550	550
0x0627afa5108aaa18e12ac3ec044bccbb7316b24e	3638482	ETH	245	1.92590039	1.92590039	211.8490429	211.8490429
0x0de3145a2174608a7e389892b3db1c9a3de3de1a	3638482	ETH	246	2.45	2.45	269.5	269.5
0x623914ce3605b0f12171ed75dbfcf149dbaa5616	3638482	ETH	247	329.98958	329.98958	36298.8538	36298.8538
0x00924412577cf08f6d3ac9ff0de6b22f578a3fe4	3638482	ETH	248	2	2	0	220
0x5df4e443998ecc63ac0a90b4d6a956373e74c68c	3638482	ETH	249	331	331	36410	36410
0x3604e404691535324dcd1fae0a0e5bf2b7947cea	3638482	ETH	250	10.006	10.006	1100.66	1100.66
0x6c0b6a5ac81e07f89238da658a9f0e61be6a0076	3638482	ETH	251	100	100	11000	11000
0xd98cc59e5bbf4895d9ce8f9e7a0811ba2943c02c	3638482	ETH	252	4	4	1778.52867719	1778.52867719
0x007fe5cd0fb8595239bcccb0b36a5c8c9a2463eb	3638482	ETH	253	32425	32425	3666750	3631600
0x37b7b38ce30a8288c43ef90714eb9428600dcdd1	3638482	ETH	254	1.9498197	1.9498197	194.98197	194.98197
0x249db29dbc19d1235da7298a04081c315742e9ac	3638482	ETH	255	26	26	2600	2600
0x913abcded2497e773012372c15792a1f09380892	3638482	ETH	256	20	20	2000	2000
0x43d02378737b88d204ee40e034d6296ac2fe9581	3638482	ETH	257	10	10	2500	2500
0x33d0edc9d1f0407ed7bdd0637de74cfdd24a56ee	3638483	ETH	258	50	50	111500	111500
0x16af41d7d554e5814b2a906b2ac27bac06c9a61a	3638483	ETH	259	20	20	2000	2000
0x18ec06065afd93736470735e4f4a2855348ea7d4	3638483	ETH	260	2000	2000	440000	440000
0xefd93315af21e228d688b00fc462679158acc5dd	3638483	ETH	261	12	12	1200	1200
0xb60ef8035e20f838acd00b998467496880651b00	3638483	ETH	262	10	10	1000	1000
0x968b5dbf9ef64979a9c5889ebfa6c77c8cb5b835	3638483	ETH	263	7	7	700	700
0xb1aad1cb1f509eb0dbbb73bb9ac03f047f60f1f0	3638483	ETH	264	90	90	9000	9000
0x49554ab51b4785d1927f10c125f7873548c35e55	3638483	ETH	265	38.424923745802867994	38.424923745802867994	4894.72986735	4894.72986735
