Account	Block	TxIndex	Ccy	#	Refund	Tx
0x22ee185b42e46f84fcd9642f2e7b45b456788053	3638684	28	MLN	90	6.197	0xa8561e9f7c05b3b7e63061fee87afac6a41fbe5e7557e2d91bf59dac08ab2d2d
0x7736e31bc3cce090d91a9645c40b9b74614522dc	3638578	8	REP	6	98	0x1090827b38c15103fdaeabc2cba1fece30cf3b688abaada33a9df6c09416ef8b
0x8bf97c47f4e8e95e3220d75f3438ec7b54f002d7	3638578	27	REP	8	0.96	0x891768a1a25673ae5af3b42343f2a47309d120de431f6541588588bc8eb1ce9b
0x15dedd9133da5b0d01e93cb897b466a714902f75	3638588	9	REP	13	0.87167233	0x1205056ecded0d9c20b6c83c41857efe993d9d97ed557c93379cbf8676bd8d22
0x009b355569bce77c9870ede7c25b86107a0e5de8	3638588	15	REP	14	104.9022046	0xb6791ca3e5947a5c449456eac3978def00b40e16dca7fa33e9535a860f87602b
0x784672f9485ae35eb9b356b2835d2a55d9429fda	3638595	7	REP	19	2.78	0x7abe9fbb5c2b6b498995009d232dc26878206f14222bf9ac7cb21af7c6dbd746
0xff723447d3a4da1bc4bfd6ee7ee112dc6bf1dd08	3638595	43	REP	20	3	0x5462de042934ec719b6c153d6b0f499506b97b2c9a0c298420dd330365649787
0x210a7a4cd7ec0099d4fbd2cf77fd231ff1b7b977	3638597	19	REP	25	1200	0x84b948515b3ca7163f8ee75974f35d26432bd6bd81a5e23861870fee46339024
0xac50654f48ea5f166f76b278c13c6151bbcd4cd0	3638608	28	REP	29	14.96133	0xe6d5c2566b1dce5121a37bb10793199bd3b0541e7072beac93cbe894f364e041
0xce2e0b96b170233d425b74ba640118eb5f59e90f	3638608	29	REP	30	60.34003	0xe6db46b0197ca11a4b7e2cf704745f2497692ba22b27c0c9e1b0baca23507c09
0x003d1e506652cf80136c56273fc483affc6a8970	3638613	27	REP	35	1	0x301ff599f800cf0509f1c2d6f30737d6718391305cf7c155cc43f3a459ab943b
0x34fe872a80360b6bedc293a50e719f317bcc285d	3638613	47	REP	36	5	0xfa3561ada149fc09752b746367fadc3085ca7a30a5fc7c6601032931b05c4429
0x617057bf5415d81fe19f8ef2cbbe4a9ee4c46da9	3638621	13	REP	42	1	0x36be508a7524c03a3040a1c070a47c8776eb4f4cf3bc6c15f18140b8b80979cf
0xdf8e1b3a5d44329398003020d8e125de36acea2b	3638623	28	REP	48	17	0x446569c70b96154d745745968af233cf7d817bbf43bf93b92ccde440c028dd81
0xffb4c3847c14f88e27042800c18d6e3ec2d2c5df	3638624	161	REP	53	8.5812	0xc04024993311b095f64baa96e1a7c7a8094312dbb959e6df424eaec2a3cfd531
0x16669c161e27521d96cbc9d5af37f24fc70ae8ca	3638627	29	REP	57	9	0xa6415f50ba3f7de7c2afa617578753357e420e16224b4ed655833438f722fe1d
0x8a12052a7666c801371afc2f026c6f15f378a6a5	3638651	16	REP	70	1	0x45e63f7779f9978fdaf6bc06b15b910a2d9526d12f5a40008feaecde9dd9ba53
0x15dd408737d10d46287d9e29ad226169f749ff0e	3638658	14	REP	73	3.975	0x535e681409be875fd62d62bea5289c99354001c189c47cca4347d278785c34b4
0x32d4a7e11ae3b667143628c8c1aa3eb0ecb7e5c5	3638675	12	REP	83	50	0x5422f75115d2a5ae6702d1db8f6a1d331fd34bb45be080e6b133153c52ff4603
0x6664d7a1fc816810827c477c0ab1a42ecf7d6b57	3638675	33	REP	85	200	0x74c616b828c5ee845a0f28ef2064ee13a92cc2c25136a736505497f75b2f94e8
0x9f9b6481601cdafca31ae0d9c7c2221bba68991e	3638684	30	REP	91	1	0xc0ea05e2554890e2adfa1281f4ee56e1e9b309ba2a61be792424a82b4762420f
0x0496159940313d5feb03212a7e78b73a972c61d6	3638693	8	REP	93	5.42796518	0x05d07843e62cc8013674d10aa2d39099229eb24fddb36c0769998bd146e3a779
0xc525105234b0355a0a0e36fce03dd22b2c69a736	3638694	0	REP	94	51.99	0xc9eef24d329d0767de4278dccabb2caf1ff93b8cc6d4a7bf3155df9697e17650
0xe1bbe7b96930fe7b8178cabd452b72ffdd571690	3638694	20	REP	95	1500	0xb6e2f6c2ad501a809835f1d1b25f5f5dbc7e850668ac0d5a78ddeaa4043b6f85
0x784672f9485ae35eb9b356b2835d2a55d9429fda	3638695	27	REP	97	2.5	0xcd43ab0c6d4f0e3a042e2271a37867cee4ea0405be405ff7e63e5620a5c64130
0x9f9b6481601cdafca31ae0d9c7c2221bba68991e	3638733	11	REP	107	261.6384675	0x530e74027bd8c2ad925e2e6758bec3ee3fd199e44df8b3eb3901e34faca9c85c
0x6664d7a1fc816810827c477c0ab1a42ecf7d6b57	3638738	19	REP	108	700	0x59c20a51d2ad02b45693b1fd37113a3f661dd3da9096c1c7061f0705166df279
0xc525105234b0355a0a0e36fce03dd22b2c69a736	3638741	0	REP	109	581.99	0xd7b801e697647fae9863546809d94305a588f140c8cee1c1035e2d4ddb223dee
0xfe32ea67659ee06e4e591942406bc7fdfb8b90fb	3638745	1	REP	111	31.4	0x9a1b5f268437d42c59ca6f25eb446990732f06354391fc428ea915a9ca113c39
0xeed368482915544df4e0c411a30994178fc319a9	3638753	4	REP	112	1.99	0x7107992302f2b4c68ba851f93f82b6f62e37e7d65543ff658f5385fb39540e5d
0x8a12052a7666c801371afc2f026c6f15f378a6a5	3638826	9	REP	116	2	0x048ce7d628c4f1c751fd0801894b3c350f8bbddf1236a025c81e835c59beeb0f
0xc82c3451cf236fa1c3c19f16197bf0f24c91a35c	3638829	45	REP	117	2.2	0xb4962275532b7bac675d4ca81887d72cbde24d77874c10db9c22e6fb513c7854
0x1acd277e742a570674667db1b577e4a3eb5eaf21	3638135	10	SNGLS	1	5	0x0b4ee3f4e88ea54bc986c17ac63e9c0152a3e3a186b0976eeb2b65ec399f8ebe
0x8242743ba8ef8192934b01ad4ff171528b795ebd	3638464	24	SNGLS	2	115001	0xc7edf3df57b1dbda41ef3833ff4c2bee10b801f19609779f630cafd171685f11
0x9911546ce52aee2ced0c46e23d2a3b16fa807f4e	3638578	23	SNGLS	7	50000	0x7763cb20256ab7139bd2864f1facad83de1dc74696a85be9006ed03d542a1525
0x784672f9485ae35eb9b356b2835d2a55d9429fda	3638587	2	SNGLS	9	2463	0xed302bbe39aa4276005d483b1eb01ea84f3120b126e55d12a20e19adf99a8fe7
0xeec131b5e29fa263b80900144f1500ab4886a3d0	3638595	67	SNGLS	21	5	0xd38ab8ce5b31bc56c112e635847f0affbf3ee832eb59cf22c7129dec882b57a5
0x342800609da628fa5f9ac091b23c121cd383fe24	3638596	18	SNGLS	22	67743	0xe2e6e06fd38aba9c2cbd2bd2eb9ac7cf32f5ff57b73f25fa09cbd368101f6366
0x93c9d88a47cf5847fd0871a2d23a8a4eb1834af2	3638618	0	SNGLS	39	10000	0xe328845ce8f343c8dbb6a4efb806743f9666f925d98ba37b3fff3424cc72136a
0x8d125209f19688764c7447309380cd2b6ff25035	3638619	0	SNGLS	41	887	0xd19b56afd680f2c96ce5ee34e0bc8101ce0631d6261c44b4badcd76183b944ea
0xb27c1a24204c1e118d75149dd109311e07c073ab	3638621	37	SNGLS	45	10	0x8f1f4bd0c1f8d189dfcc2183016dab8047642fbb4c95ab67b45b6c4c1bcd3354
0xe424ebbecc3a948d17900b5e7b8797afe35de70a	3638627	27	SNGLS	56	250	0xa3170b229a4e45a8df573ec7a95f295130bf5892a4ce9250514a4b93d31173c4
0xd3d1f7490ddd68d24459ac31514f03cb3cc86007	3638629	35	SNGLS	58	9354	0x62dca25066c43b6e3c09f0bcaf72cf9d1885f180f7361e8424385d6bde337ea2
0x1a46f679e89a218ae229a950c25c7e2efffbe618	3638636	17	SNGLS	60	7927	0xa694898fc93f059bbc110fd253eae1a2c1cf41c98034640686764c4d2fba657d
0x15dedd9133da5b0d01e93cb897b466a714902f75	3638646	54	SNGLS	66	100	0xa7e9311fbfc3dd05001d1842fb28b8e30684e84c112429de076df198859c79d7
